order_book_id,date,low,prev_close,limit_up,open,num_trades,high,limit_down,volume,close,total_turnover
601318.XSHG,2016-06-23,26.0434,32.08,28.748,26.1412,8994.0,26.1819,23.5181,25361741.0,26.0679,812060934.0
601318.XSHG,2016-06-24,25.4243,32.0,28.6746,26.0516,18067.0,26.1738,23.4611,42936222.0,25.7013,1362051847.0
601318.XSHG,2016-06-27,25.6198,31.55,28.2755,25.6605,12345.0,25.8561,23.1352,23863950.0,25.8072,754744913.0
601318.XSHG,2016-06-28,25.628,31.68,28.3895,25.7176,13703.0,25.9538,23.2248,23766593.0,25.9457,752102130.0
601318.XSHG,2016-06-29,25.9457,31.85,28.5443,25.9864,14399.0,26.2145,23.3552,26351146.0,26.1982,843595384.0
601318.XSHG,2016-06-30,26.076,32.16,28.8213,26.2063,10404.0,26.3122,23.5751,17779547.0,26.1004,570756950.0
601318.XSHG,2016-07-01,26.1167,32.04,28.7072,26.1819,10032.0,26.296,23.4937,18235058.0,26.2145,586600866.0
601318.XSHG,2016-07-04,26.1167,32.18,28.8376,26.1656,22104.0,26.6055,23.5914,40321889.0,26.4263,1308665342.0
601318.XSHG,2016-07-05,26.3522,32.09,29.0698,26.5169,13610.0,26.5581,23.7829,22093835.0,26.4098,708723117.0
601318.XSHG,2016-07-06,26.1875,32.07,29.0533,26.3522,16701.0,26.4181,23.7664,24949967.0,26.344,795789559.0
601318.XSHG,2016-07-07,26.1875,31.99,28.9792,26.311,14002.0,26.344,23.7087,22363060.0,26.311,712756092.0
601318.XSHG,2016-07-08,26.1545,31.95,28.9462,26.311,12680.0,26.3192,23.684,19295029.0,26.171,613694890.0
601318.XSHG,2016-07-11,26.1545,31.78,28.7898,26.1957,14081.0,26.3275,23.5523,23128423.0,26.1793,737189871.0
601318.XSHG,2016-07-12,26.1875,31.79,28.798,26.1957,26505.0,26.731,23.5605,42598577.0,26.6898,1370988825.0
601318.XSHG,2016-07-13,26.5992,32.41,29.358,26.8463,21771.0,27.011,24.0217,42203460.0,26.731,1373499797.0
601318.XSHG,2016-07-14,26.591,32.46,29.4074,26.7145,11152.0,26.7639,24.0546,20651738.0,26.7557,668453802.0
601318.XSHG,2016-07-15,26.6981,32.49,29.4321,26.7639,14932.0,26.9286,24.0793,35206349.0,26.8381,1146376131.0
601318.XSHG,2016-07-18,26.8628,32.59,29.5227,26.9039,18454.0,27.1757,24.1534,38033581.0,26.9204,1247791265.0
601318.XSHG,2016-07-19,26.5251,32.69,29.6133,26.9204,15530.0,26.9204,24.2275,26362017.0,26.6651,853931060.0
601318.XSHG,2016-07-20,26.4592,32.38,29.3333,26.6981,10108.0,26.7228,23.997,18557332.0,26.6075,599404450.0
601318.XSHG,2016-07-21,26.6075,32.31,29.2674,26.6075,15180.0,26.8875,23.9476,24834404.0,26.8051,807123491.0
601318.XSHG,2016-07-22,26.5416,32.55,29.4897,26.7639,10714.0,26.7969,24.1205,21162492.0,26.5992,685426388.0
601318.XSHG,2016-07-25,26.5334,32.3,29.2592,26.5992,7815.0,26.6816,23.9393,17490184.0,26.5992,565477113.0
